"TimeInt";"TimeStr";"Intensidad_Bomba_Hidráulica";"Intensidad_Soplante_Inferior1";"Intensidad_Soplante_Inferior2";"Intensidad_Soplante_Superior";"Presión_Bomba_Hidráulica";"Presión_Soplante_Inferior1";"Presión_Soplante_Inferior2";"Presión_Soplante_Superior";"Temperatura_Inferior";"Temperatura_Intermedia";"Temperatura_Superior"
1550102400;"14/02/2019 00:00:00";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550104135;"14/02/2019 00:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550105935;"14/02/2019 00:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550107735;"14/02/2019 01:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550109535;"14/02/2019 01:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550111335;"14/02/2019 02:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550113135;"14/02/2019 02:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550114935;"14/02/2019 03:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550116735;"14/02/2019 03:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550118535;"14/02/2019 04:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550120335;"14/02/2019 04:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550122135;"14/02/2019 05:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550123936;"14/02/2019 05:58:56";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550125735;"14/02/2019 06:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550127535;"14/02/2019 06:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550129336;"14/02/2019 07:28:56";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550131135;"14/02/2019 07:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550132935;"14/02/2019 08:28:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550134735;"14/02/2019 08:58:55";1.25;12.35;3.24;14.5;2.365;4;5;2.365;14.63;58.36;14.5
1550136535;"14/02/2019 09:28:55";12.33;32.32;3.25;14.3;1.236;1.235;6.321;9.321;12.6;14.32;852.35
1550138335;"14/02/2019 09:58:55";12.33;32.32;3.25;14.3;1.236;1.235;6.321;9.321;12.6;14.32;852.35
1550140135;"14/02/2019 10:28:55";12.33;32.32;3.25;14.3;1.236;1.235;6.321;9.321;12.6;14.32;852.35
1550141935;"14/02/2019 10:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550143735;"14/02/2019 11:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550145535;"14/02/2019 11:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550147335;"14/02/2019 12:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550149135;"14/02/2019 12:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550150935;"14/02/2019 13:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550152735;"14/02/2019 13:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550154535;"14/02/2019 14:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550156335;"14/02/2019 14:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550158135;"14/02/2019 15:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550159935;"14/02/2019 15:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550161735;"14/02/2019 16:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550163535;"14/02/2019 16:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550165335;"14/02/2019 17:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550167135;"14/02/2019 17:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550168935;"14/02/2019 18:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550170735;"14/02/2019 18:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550172535;"14/02/2019 19:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550174335;"14/02/2019 19:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550176135;"14/02/2019 20:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550177935;"14/02/2019 20:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550179735;"14/02/2019 21:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550181535;"14/02/2019 21:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550183335;"14/02/2019 22:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550185135;"14/02/2019 22:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550186935;"14/02/2019 23:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550188735;"14/02/2019 23:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550190535;"15/02/2019 00:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550192335;"15/02/2019 00:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550194135;"15/02/2019 01:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550195935;"15/02/2019 01:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550197735;"15/02/2019 02:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550199535;"15/02/2019 02:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550201335;"15/02/2019 03:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550203135;"15/02/2019 03:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550204935;"15/02/2019 04:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550206735;"15/02/2019 04:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550208535;"15/02/2019 05:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550210335;"15/02/2019 05:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550212135;"15/02/2019 06:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550213935;"15/02/2019 06:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550215735;"15/02/2019 07:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550217535;"15/02/2019 07:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550219335;"15/02/2019 08:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550221135;"15/02/2019 08:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550222935;"15/02/2019 09:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550224735;"15/02/2019 09:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550226535;"15/02/2019 10:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550228335;"15/02/2019 10:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550230135;"15/02/2019 11:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550231935;"15/02/2019 11:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550233735;"15/02/2019 12:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550235535;"15/02/2019 12:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
